pickup_area,trips,avg_mult,surge_rate
neighborhood_75,12425,0.1797484708249496,0.4388732394366197
neighborhood_78,687,0.1520192867540029,0.4643377001455604
neighborhood_67,22841,0.1196259139267107,0.3579965850882186
neighborhood_72,8590,0.1181224388824214,0.3642607683352736
neighborhood_19,6912,0.1146355251736111,0.3407118055555556
neighborhood_74,5797,0.1115976798343971,0.3317233051578402
neighborhood_77,17442,0.0990507969269579,0.3462332301341589
neighborhood_76,6827,0.0885890581514574,0.3093598945363996
neighborhood_73,862,0.087489849187935,0.3097447795823665
neighborhood_79,718,0.0830362116991643,0.2743732590529248
neighborhood_42,110,0.0723727272727272,0.2
neighborhood_80,76,0.0649243421052631,0.1447368421052631
neighborhood_21,1514,0.0642252311756935,0.2166446499339498
neighborhood_59,63,0.0631904761904761,0.1428571428571428
neighborhood_82,83,0.0600572289156626,0.2409638554216867
neighborhood_11,83,0.0552530120481927,0.1204819277108433
neighborhood_56,180,0.0544277777777777,0.1055555555555555
neighborhood_64,527,0.0538690702087286,0.1688804554079696
neighborhood_58,85,0.0507882352941176,0.0941176470588235
neighborhood_5,6056,0.0488970442536327,0.1694187582562747
neighborhood_81,91,0.0473956043956043,0.1098901098901098
neighborhood_55,153,0.0457254901960784,0.1176470588235294
neighborhood_31,6220,0.0434872588424437,0.1413183279742765
neighborhood_41,153,0.0421960784313725,0.1372549019607843
neighborhood_23,100,0.04215,0.14
neighborhood_17,488,0.0414303278688524,0.1045081967213114
neighborhood_22,11434,0.0394006253279692,0.1454434143781703
neighborhood_35,8717,0.0393682746357691,0.1528048640587358
neighborhood_83,515,0.0393320388349514,0.1126213592233009
neighborhood_2,19763,0.0375567348074685,0.1268532105449577
neighborhood_71,1704,0.0366362969483568,0.1255868544600939
neighborhood_37,17269,0.0357172679367653,0.1399617812264751
neighborhood_50,512,0.03560107421875,0.109375
neighborhood_3,22031,0.0338711361263673,0.1151105260768916
neighborhood_29,213,0.0330985915492957,0.0798122065727699
neighborhood_61,145,0.0303724137931034,0.096551724137931
neighborhood_68,715,0.030262937062937,0.0881118881118881
neighborhood_18,2106,0.0289497863247863,0.100664767331434
neighborhood_38,306,0.0282908496732026,0.1078431372549019
neighborhood_4,6819,0.0276303343598768,0.0944420002932981
neighborhood_12,573,0.0270750436300174,0.0994764397905759
neighborhood_70,536,0.0259141791044776,0.0895522388059701
neighborhood_34,202,0.0257920792079207,0.0841584158415841
neighborhood_13,5190,0.025160838150289,0.0890173410404624
neighborhood_1,1070,0.0250303738317757,0.0878504672897196
neighborhood_51,109,0.0244954128440366,0.1009174311926605
neighborhood_84,595,0.023726050420168,0.0739495798319327
neighborhood_36,2484,0.0234948671497584,0.0768921095008051
neighborhood_43,223,0.0233228699551569,0.0896860986547085
neighborhood_15,2680,0.0229882462686567,0.0798507462686567
neighborhood_62,1717,0.0228159580663948,0.0879440885264997
neighborhood_6,793,0.0226358764186633,0.0643127364438839
neighborhood_10,492,0.022160569105691,0.065040650406504
neighborhood_49,297,0.0218080808080808,0.0841750841750841
neighborhood_14,2863,0.0208208173244848,0.0639189661194551
neighborhood_69,958,0.0207567849686847,0.0636743215031315
neighborhood_24,382,0.0203403141361256,0.0549738219895288
neighborhood_47,1195,0.0199414225941422,0.0585774058577405
neighborhood_7,4899,0.0195203612982241,0.0614411104307001
neighborhood_9,1780,0.0188566011235955,0.0646067415730337
neighborhood_54,1250,0.0187712,0.0808
neighborhood_33,260,0.017926923076923,0.05
neighborhood_8,336,0.0176904761904761,0.0773809523809523
neighborhood_20,200,0.016635,0.055
neighborhood_26,1094,0.0166288848263254,0.0621572212065813
neighborhood_65,6172,0.0159672715489306,0.0584899546338302
neighborhood_16,2233,0.0157507836990595,0.0564263322884012
neighborhood_46,1552,0.0156978092783505,0.0483247422680412
neighborhood_48,609,0.0148998357963875,0.0509031198686371
neighborhood_45,342,0.0144298245614035,0.043859649122807
neighborhood_32,144,0.0143333333333333,0.0486111111111111
neighborhood_44,458,0.014117903930131,0.0480349344978165
neighborhood_63,158,0.0135759493670886,0.050632911392405
neighborhood_66,110,0.0135181818181818,0.0363636363636363
neighborhood_28,191,0.012979057591623,0.0523560209424083
neighborhood_30,1735,0.0129478386167146,0.0438040345821325
neighborhood_27,764,0.0081086387434554,0.0327225130890052
neighborhood_57,51,0.0058823529411764,0.0392156862745098
neighborhood_60,112,0.0043660714285714,0.0178571428571428
,11731,0.0015054130082686,0.0051146534822265
