theme_column,code,n_mentions
theme_earnings_or_cost,fuel_high,6
theme_earnings_or_cost,slight_increase,4
theme_earnings_or_cost,commission_high,3
theme_earnings_or_cost,delay,3
theme_earnings_or_cost,maintenance_high,3
theme_earnings_or_cost,budget_impact,2
theme_earnings_or_cost,cost_high,2
theme_earnings_or_cost,high_cost,2
theme_earnings_or_cost,moderate,2
theme_earnings_or_cost,better_earnings,1
theme_earnings_or_cost,budget,1
theme_earnings_or_cost,cancel_trip,1
theme_earnings_or_cost,cost_barrier,1
theme_earnings_or_cost,delay_cost,1
theme_earnings_or_cost,demand_imbalance,1
theme_earnings_or_cost,event_high,1
theme_earnings_or_cost,fuel_cost_high,1
theme_earnings_or_cost,good_peak,1
theme_earnings_or_cost,high_fares_emergency,1
theme_earnings_or_cost,higher_income,1
theme_earnings_or_cost,higher_rain_earnings,1
theme_earnings_or_cost,increased_cost,1
theme_earnings_or_cost,late_to_work,1
theme_earnings_or_cost,low_driver_share,1
theme_earnings_or_cost,moderate_increase,1
theme_earnings_or_cost,no_fare_regulation,1
theme_earnings_or_cost,price_volatility,1
theme_earnings_or_cost,small_increase,1
theme_earnings_or_cost,surge_short,1
theme_earnings_or_cost,traffic,1
theme_earnings_or_cost,traffic_cost,1
theme_earnings_or_cost,trip_too_expensive,1
theme_earnings_or_cost,weekend_high,1
theme_fairness,mixed,15
theme_fairness,not_fair,13
theme_fairness,fair,4
theme_fairness,mostly_fair,1
theme_fairness,not_equitable,1
theme_fairness,somewhat_fair,1
theme_regulation_or_design,transparency,7
theme_regulation_or_design,alerts,4
theme_regulation_or_design,limit_surge,3
theme_regulation_or_design,reduce_commission,3
theme_regulation_or_design,cap_surge,2
theme_regulation_or_design,longer_surge,2
theme_regulation_or_design,lower_commission,2
theme_regulation_or_design,price_cap,2
theme_regulation_or_design,reduce_fees,2
theme_regulation_or_design,balanced_incentives,1
theme_regulation_or_design,better_communication,1
theme_regulation_or_design,cap_prices,1
theme_regulation_or_design,cap_pricing,1
theme_regulation_or_design,controlled_surge,1
theme_regulation_or_design,gov_involvement,1
theme_regulation_or_design,min_driver_earnings,1
theme_regulation_or_design,price_bands,1
theme_regulation_or_design,regulation,1
theme_regulation_or_design,surge_alerts,1
theme_regulation_or_design,surge_forecast,1
theme_regulation_or_design,tech_improvements,1
theme_regulation_or_design,wants_price_cap,1
theme_regulation_or_design,wants_transparency,1
theme_response_surge,waits,5
theme_response_surge,books_anyway,3
theme_response_surge,accepts_surge,2
theme_response_surge,alternative,2
theme_response_surge,accessibility_issue,1
theme_response_surge,airport_focus,1
theme_response_surge,driver_inequality,1
theme_response_surge,fairness_concern,1
theme_response_surge,longer_hours,1
theme_response_surge,market_imbalance,1
theme_response_surge,matatu,1
theme_response_surge,moves_hotspot,1
theme_response_surge,moves_to_airport,1
theme_response_surge,moves_to_cbd,1
theme_response_surge,moves_to_hotspot,1
theme_response_surge,moves_westlands,1
theme_response_surge,night_driving,1
theme_response_surge,passenger_complaints,1
theme_response_surge,peak_hour_online,1
theme_response_surge,rush_hour,1
theme_response_surge,stays_online_longer,1
theme_response_surge,uses_boda,1
theme_response_surge,uses_matatu,1
theme_response_surge,uses_other_app,1
theme_response_surge,waits_busy_areas,1
theme_response_surge,waits_for_price_drop,1
theme_response_surge,waits_hotspots,1
theme_response_surge,waits_surge,1
