theme_column,code,role,n_mentions
theme_earnings_or_cost,better_earnings,Driver,1
theme_earnings_or_cost,budget,Passenger,1
theme_earnings_or_cost,budget_impact,Passenger,2
theme_earnings_or_cost,cancel_trip,Passenger,1
theme_earnings_or_cost,commission_high,Driver,3
theme_earnings_or_cost,cost_barrier,Expert,1
theme_earnings_or_cost,cost_high,Passenger,2
theme_earnings_or_cost,delay,Passenger,3
theme_earnings_or_cost,delay_cost,Passenger,1
theme_earnings_or_cost,demand_imbalance,Expert,1
theme_earnings_or_cost,event_high,Driver,1
theme_earnings_or_cost,fuel_cost_high,Driver,1
theme_earnings_or_cost,fuel_high,Driver,6
theme_earnings_or_cost,good_peak,Driver,1
theme_earnings_or_cost,high_cost,Passenger,2
theme_earnings_or_cost,high_fares_emergency,Expert,1
theme_earnings_or_cost,higher_income,Driver,1
theme_earnings_or_cost,higher_rain_earnings,Driver,1
theme_earnings_or_cost,increased_cost,Passenger,1
theme_earnings_or_cost,late_to_work,Passenger,1
theme_earnings_or_cost,low_driver_share,Expert,1
theme_earnings_or_cost,maintenance_high,Driver,3
theme_earnings_or_cost,moderate,Driver,2
theme_earnings_or_cost,moderate_increase,Driver,1
theme_earnings_or_cost,no_fare_regulation,Expert,1
theme_earnings_or_cost,price_volatility,Expert,1
theme_earnings_or_cost,slight_increase,Driver,4
theme_earnings_or_cost,small_increase,Driver,1
theme_earnings_or_cost,surge_short,Driver,1
theme_earnings_or_cost,traffic,Driver,1
theme_earnings_or_cost,traffic_cost,Driver,1
theme_earnings_or_cost,trip_too_expensive,Passenger,1
theme_earnings_or_cost,weekend_high,Driver,1
theme_fairness,fair,Driver,4
theme_fairness,mixed,Driver,5
theme_fairness,mixed,Expert,2
theme_fairness,mixed,Passenger,8
theme_fairness,mostly_fair,Driver,1
theme_fairness,not_equitable,Expert,1
theme_fairness,not_fair,Driver,4
theme_fairness,not_fair,Expert,2
theme_fairness,not_fair,Passenger,7
theme_fairness,somewhat_fair,Driver,1
theme_regulation_or_design,alerts,Driver,1
theme_regulation_or_design,alerts,Passenger,3
theme_regulation_or_design,balanced_incentives,Expert,1
theme_regulation_or_design,better_communication,Driver,1
theme_regulation_or_design,cap_prices,Passenger,1
theme_regulation_or_design,cap_pricing,Expert,1
theme_regulation_or_design,cap_surge,Passenger,2
theme_regulation_or_design,controlled_surge,Expert,1
theme_regulation_or_design,gov_involvement,Expert,1
theme_regulation_or_design,limit_surge,Passenger,3
theme_regulation_or_design,longer_surge,Driver,2
theme_regulation_or_design,lower_commission,Driver,2
theme_regulation_or_design,min_driver_earnings,Expert,1
theme_regulation_or_design,price_bands,Expert,1
theme_regulation_or_design,price_cap,Expert,1
theme_regulation_or_design,price_cap,Passenger,1
theme_regulation_or_design,reduce_commission,Driver,3
theme_regulation_or_design,reduce_fees,Driver,2
theme_regulation_or_design,regulation,Expert,1
theme_regulation_or_design,surge_alerts,Driver,1
theme_regulation_or_design,surge_forecast,Driver,1
theme_regulation_or_design,tech_improvements,Expert,1
theme_regulation_or_design,transparency,Driver,3
theme_regulation_or_design,transparency,Expert,1
theme_regulation_or_design,transparency,Passenger,3
theme_regulation_or_design,wants_price_cap,Passenger,1
theme_regulation_or_design,wants_transparency,Passenger,1
theme_response_surge,accepts_surge,Driver,2
theme_response_surge,accessibility_issue,Expert,1
theme_response_surge,airport_focus,Driver,1
theme_response_surge,alternative,Passenger,2
theme_response_surge,books_anyway,Passenger,3
theme_response_surge,driver_inequality,Expert,1
theme_response_surge,fairness_concern,Expert,1
theme_response_surge,longer_hours,Driver,1
theme_response_surge,market_imbalance,Expert,1
theme_response_surge,matatu,Passenger,1
theme_response_surge,moves_hotspot,Driver,1
theme_response_surge,moves_to_airport,Driver,1
theme_response_surge,moves_to_cbd,Driver,1
theme_response_surge,moves_to_hotspot,Driver,1
theme_response_surge,moves_westlands,Driver,1
theme_response_surge,night_driving,Driver,1
theme_response_surge,passenger_complaints,Expert,1
theme_response_surge,peak_hour_online,Driver,1
theme_response_surge,rush_hour,Driver,1
theme_response_surge,stays_online_longer,Driver,1
theme_response_surge,uses_boda,Passenger,1
theme_response_surge,uses_matatu,Passenger,1
theme_response_surge,uses_other_app,Passenger,1
theme_response_surge,waits,Passenger,5
theme_response_surge,waits_busy_areas,Driver,1
theme_response_surge,waits_for_price_drop,Passenger,1
theme_response_surge,waits_hotspots,Driver,1
theme_response_surge,waits_surge,Driver,1
